Provider;Location;Device;Aggregate Date;Test Count;Sample Count;Platform;Technology Type;Metric Type;User Count;Minimum Latency;Multi-Server Latency;Multi-Server Jitter;Download Speed;Upload Speed;Download Speed Mbps;Upload Speed Mbps
All Providers Combined;Armenia, Armenia, Quindio, Colombia;;jun-21;15947;4581;all;N/A;median;4581;23;;;39190;7340;39.19;7.34
All Providers Combined;Leticia, Leticia, Amazonas, Colombia;;jun-21;16;6;all;N/A;median;6;62;;;1714;870;1.71;0.87
All Providers Combined;Medellín, Medellin, Antioquia, Colombia;;jun-21;265664;80005;all;N/A;median;80005;14;;;42953;7875;42.95;7.88
All Providers Combined;Arauca, Arauca, Arauca, Colombia;;jun-21;658;205;all;N/A;median;205;54;;;5342;863;5.34;0.86
All Providers Combined;Barranquilla, Barranquilla, Atlantico, Colombia;;jun-21;97024;28725;all;N/A;median;28725;20;;;39126;8798;39.13;8.80
All Providers Combined;Bogotá, Bogota, Colombia;;jun-21;1001573;294246;all;N/A;median;294246;11;;;52241;10669;52.24;10.67
All Providers Combined;Cartagena, Cartagena, Bolívar, Colombia;;jun-21;30194;8394;all;N/A;median;8394;16;;;40257;7231;40.26;7.23
All Providers Combined;Tunja, Tunja, Boyacá, Colombia;;jun-21;16795;4644;all;N/A;median;4644;16;;;41286;8697;41.29;8.70
All Providers Combined;Manizales, Manizales, Caldas, Colombia;;jun-21;38620;9406;all;N/A;median;9406;20;;;40851;7284;40.85;7.28
All Providers Combined;Florencia, Florencia, Caquetá, Colombia;;jun-21;5326;1391;all;N/A;median;1391;24;;;17364;9468;17.36;9.47
All Providers Combined;Yopal, Yopal, Casanare, Colombia;;jun-21;7633;2118;all;N/A;median;2118;19;;;35709;7679;35.71;7.68
All Providers Combined;Popayán, Popayán, Cauca, Colombia;;jun-21;21077;5705;all;N/A;median;5705;23;;;32270;8166;32.27;8.17
All Providers Combined;Valledupar, Valledupar, Cesar, Colombia;;jun-21;19486;5212;all;N/A;median;5212;32;;;34264;7004;34.26;7.00
All Providers Combined;Quibdo, Quibdó, Chocó, Colombia;;jun-21;856;167;all;N/A;median;167;44;;;6167;860;6.17;0.86
