Provider;Location;Aggregate Date;Test Count;Sample Count;Metric Type;User Count;Minimum Latency;Download Speed;Upload Speed;Download Speed Mbps;Upload Speed Mbps
All Providers Combined;ARMENIA;2022-01;11395.0;3401.0;median;3401.0;22.0;55598.0;11240.0;55.6;11.24
All Providers Combined;LETICIA;2022-01;2.0;2.0;median;2.0;67.0;583.0;337.0;0.58;0.34
All Providers Combined;MEDELLIN;2022-01;216811.0;68557.0;median;68557.0;11.0;60758.0;13356.0;60.76;13.36
All Providers Combined;ARAUCA;2022-01;1078.0;371.0;median;371.0;22.0;9059.0;4645.0;9.06;4.65
All Providers Combined;BARRANQUILLA;2022-01;74945.0;21709.0;median;21709.0;18.0;56347.0;16625.0;56.35;16.63
All Providers Combined;BOGOTA;2022-01;905088.0;272768.0;median;272768.0;9.0;76637.0;21927.0;76.64;21.93
All Providers Combined;CARTAGENA;2022-01;26169.0;7842.0;median;7842.0;14.0;59174.0;13422.0;59.17;13.42
All Providers Combined;TUNJA;2022-01;13952.0;4031.0;median;4031.0;15.0;46927.0;16399.0;46.93;16.4
All Providers Combined;MANIZALES;2022-01;32577.0;8608.0;median;8608.0;30.0;56886.0;12019.0;56.89;12.02
All Providers Combined;FLORENCIA;2022-01;5603.0;1445.0;median;1445.0;22.0;32664.0;19805.0;32.66;19.81
All Providers Combined;YOPAL;2022-01;6032.0;1784.0;median;1784.0;18.0;49597.0;11089.0;49.6;11.09
All Providers Combined;POPAYAN;2022-01;17390.0;4766.0;median;4766.0;20.0;44534.0;11272.0;44.53;11.27
All Providers Combined;VALLEDUPAR;2022-01;14868.0;4381.0;median;4381.0;31.0;61005.0;14261.0;61.01;14.26
All Providers Combined;QUIBDO;2022-01;436.0;121.0;median;121.0;38.0;7332.0;918.0;7.33;0.92
All Providers Combined;MONTERIA;2022-01;15229.0;4225.0;median;4225.0;19.0;51037.0;14700.0;51.04;14.7
All Providers Combined;INIRIDA;2022-01;19.0;11.0;median;11.0;23.0;33620.0;29099.0;33.62;29.1
All Providers Combined;SAN JOSE DEL GUAVIARE;2022-01;827.0;169.0;median;169.0;19.0;9412.0;12978.0;9.41;12.98
All Providers Combined;NEIVA;2022-01;16803.0;5253.0;median;5253.0;21.0;42175.0;12494.0;42.18;12.49
All Providers Combined;RIOHACHA;2022-01;3745.0;1182.0;median;1182.0;38.0;49544.0;15219.0;49.54;15.22
All Providers Combined;SANTA MARTA;2022-01;14788.0;4402.0;median;4402.0;25.0;49032.0;11760.0;49.03;11.76
All Providers Combined;VILLAVICENCIO;2022-01;27910.0;8077.0;median;8077.0;13.0;60071.0;19407.0;60.07;19.41
All Providers Combined;PASTO;2022-01;15471.0;4548.0;median;4548.0;25.0;42298.0;11114.0;42.3;11.11
All Providers Combined;CUCUTA;2022-01;27857.0;8522.0;median;8522.0;25.0;49381.0;13740.0;49.38;13.74
All Providers Combined;MOCOA;2022-01;154.0;49.0;median;49.0;30.0;11295.0;9946.0;11.3;9.95
All Providers Combined;PEREIRA;2022-01;31605.0;9513.0;median;9513.0;22.0;50236.0;12826.0;50.24;12.83
All Providers Combined;SAN ANDRES;2022-01;368.0;101.0;median;101.0;14.0;3825.0;2824.0;3.83;2.82
All Providers Combined;BUCARAMANGA;2022-01;69774.0;20195.0;median;20195.0;27.0;69281.0;21753.0;69.28;21.75
All Providers Combined;SINCELEJO;2022-01;5795.0;1945.0;median;1945.0;18.0;39037.0;9901.0;39.04;9.9
All Providers Combined;IBAGUE;2022-01;27178.0;7902.0;median;7902.0;15.0;54568.0;20592.0;54.57;20.59
All Providers Combined;CALI;2022-01;144880.0;42620.0;median;42620.0;19.0;59122.0;19901.0;59.12;19.9
All Providers Combined;ARMENIA;2022-02;9519.0;2770.0;median;2770.0;22.0;66577.0;15450.0;66.58;15.45
All Providers Combined;MEDELLIN;2022-02;239242.0;75560.0;median;75560.0;11.0;64017.0;17416.0;64.02;17.42
All Providers Combined;ARAUCA;2022-02;917.0;344.0;median;344.0;24.0;9187.0;4754.0;9.19;4.75
All Providers Combined;BARRANQUILLA;2022-02;71574.0;21276.0;median;21276.0;16.0;60878.0;20769.0;60.88;20.77
All Providers Combined;BOGOTA;2022-02;874308.0;264078.0;median;264078.0;9.0;81467.0;25663.0;81.47;25.66
All Providers Combined;CARTAGENA;2022-02;26306.0;7449.0;median;7449.0;13.0;63031.0;14873.0;63.03;14.87
All Providers Combined;TUNJA;2022-02;15767.0;4725.0;median;4725.0;15.0;53011.0;19541.0;53.01;19.54
All Providers Combined;MANIZALES;2022-02;25009.0;7222.0;median;7222.0;28.0;63608.0;15130.0;63.61;15.13
All Providers Combined;FLORENCIA;2022-02;3401.0;994.0;median;994.0;22.0;36498.0;22093.0;36.5;22.09
All Providers Combined;YOPAL;2022-02;5398.0;1564.0;median;1564.0;18.0;47250.0;15942.0;47.25;15.94
All Providers Combined;POPAYAN;2022-02;17494.0;4752.0;median;4752.0;20.0;46666.0;15432.0;46.67;15.43
All Providers Combined;VALLEDUPAR;2022-02;13553.0;3910.0;median;3910.0;29.0;64246.0;18384.0;64.25;18.38
All Providers Combined;QUIBDO;2022-02;430.0;103.0;median;103.0;40.0;8158.0;4285.0;8.16;4.29
All Providers Combined;MONTERIA;2022-02;13476.0;3724.0;median;3724.0;17.0;57836.0;18855.0;57.84;18.86
All Providers Combined;INIRIDA;2022-02;4.0;3.0;median;3.0;12.0;93513.0;94739.0;93.51;94.74
All Providers Combined;SAN JOSE DEL GUAVIARE;2022-02;618.0;158.0;median;158.0;15.0;12128.0;11842.0;12.13;11.84
All Providers Combined;NEIVA;2022-02;15976.0;4948.0;median;4948.0;21.0;43941.0;17097.0;43.94;17.1
All Providers Combined;RIOHACHA;2022-02;3220.0;1058.0;median;1058.0;35.0;50782.0;17351.0;50.78;17.35
All Providers Combined;SANTA MARTA;2022-02;15270.0;4553.0;median;4553.0;21.0;53517.0;16512.0;53.52;16.51
All Providers Combined;VILLAVICENCIO;2022-02;27141.0;7829.0;median;7829.0;14.0;62841.0;21548.0;62.84;21.55
All Providers Combined;PASTO;2022-02;15800.0;4662.0;median;4662.0;24.0;47678.0;16479.0;47.68;16.48
All Providers Combined;CUCUTA;2022-02;26347.0;8180.0;median;8180.0;23.0;52810.0;17305.0;52.81;17.31
All Providers Combined;MOCOA;2022-02;191.0;52.0;median;52.0;27.0;18006.0;16218.0;18.01;16.22
All Providers Combined;PEREIRA;2022-02;29263.0;8497.0;median;8497.0;22.0;53534.0;16951.0;53.53;16.95
All Providers Combined;SAN ANDRES;2022-02;306.0;84.0;median;84.0;6.0;3947.0;3376.0;3.95;3.38
All Providers Combined;BUCARAMANGA;2022-02;65866.0;20155.0;median;20155.0;27.0;68751.0;21300.0;68.75;21.3
All Providers Combined;SINCELEJO;2022-02;5772.0;1849.0;median;1849.0;17.0;43999.0;10564.0;44.0;10.56
