Aggregate Date;municipio;region;connection_type;provider;test_count;performance_sample_count;mean_download_speed_mbps;download_speed;mean_upload_mbps;upload_speed;latency;jitter;mes;año;periodo;sample_count;mean_download_mbps;mean_latency_ms;mean_jitter
2022-06-01;YOTOCO;Valle del Cauca;All Fixed;All Providers Combined;787;300.0;101.168;32.469;91.134;29.866;23.0;7.0;6;2022;2022-06;;;;
2022-11-01;LA FLORIDA;Narino;All Fixed;All Providers Combined;613;253.0;94.116;49.272;91.035;70.075;25.0;3.0;11;2022;2022-11;;;;
2022-10-01;LA PLATA;Huila;All Fixed;All Providers Combined;1117;238.0;34.871;10.036;30.031;10.221;21.0;16.0;10;2022;2022-10;;;;
2022-05-01;SORACA;Boyaca;All Fixed;All Providers Combined;44;8.0;20.787;19.901;19.287;15.348;29.0;24.0;5;2022;2022-05;;;;
2022-07-01;EL ROSAL;Cundinamarca;All Fixed;All Providers Combined;520;201.0;88.655;39.686;83.83;36.451;8.0;6.0;7;2022;2022-07;;;;
2022-11-01;FIRAVITOBA;Boyaca;All Fixed;All Providers Combined;118;57.0;44.987;26.827;40.721;16.592;17.0;7.0;11;2022;2022-11;;;;
2022-12-01;FLORIDABLANCA;Santander Department;All Fixed;All Providers Combined;12162;3915.0;146.31;116.42;97.139;34.585;16.0;6.0;12;2022;2022-12;;;;
2022-04-01;OLAYA HERRERA;Narino;All Fixed;All Providers Combined;45;8.0;4.04;4.367;4.669;4.586;19.0;53.0;4;2022;2022-04;;;;
2022-02-01;JENESANO;Boyaca;All Fixed;All Providers Combined;141;47.0;43.599;37.95;39.33;32.868;5.0;3.0;2;2022;2022-02;;;;
2022-10-01;BECERRIL;Cesar;All Fixed;All Providers Combined;62;24.0;31.662;30.472;36.937;30.743;6.0;6.0;10;2022;2022-10;;;;
2022-10-01;ENTRERRIOS;Antioquia;All Fixed;All Providers Combined;392;158.0;58.164;29.996;59.621;27.431;24.0;8.0;10;2022;2022-10;;;;
2022-10-01;BETULIA;Antioquia;All Fixed;All Providers Combined;472;116.0;17.813;9.493;18.489;9.902;13.0;10.0;10;2022;2022-10;;;;
2022-12-01;LA MACARENA;Meta;All Fixed;All Providers Combined;164;64.0;60.903;11.961;64.027;14.136;16.0;6.0;12;2022;2022-12;;;;
2022-01-01;PUERTO COLOMBIA;Atlantico;All Fixed;All Providers Combined;478;146.0;46.224;22.701;19.248;8.831;14.0;10.0;1;2022;2022-01;;;;
